N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
110,한화시스템,"14,200",400,-2.74%,"5,000","26,827","188,919",3.13,"483,580",28.12,6.04,
111,GS리테일,"25,500",50,+0.20%,"1,000","26,703","104,718",6.76,"163,620",3.16,25.58,
112,KCC,"293,500","11,500",-3.77%,"5,000","26,082","8,886",9.85,"26,848",-46.00,-0.92,
113,포스코인터내셔널,"21,050","1,450",-6.44%,"5,000","25,970","123,375",7.67,"800,390",6.06,10.86,
114,한화에어로스페이스,"50,700",500,-0.98%,"5,000","25,669","50,630",22.01,"562,695",12.71,9.21,
115,한전기술,"66,600","3,200",-4.58%,200,"25,455","38,220",1.88,"278,643",193.60,3.25,
116,CJ대한통운,"111,500",500,+0.45%,"5,000","25,436","22,812",18.11,"33,294",36.88,1.59,
117,한솔케미칼,"223,500","5,000",-2.19%,"5,000","25,334","11,335",34.41,"50,356",17.11,23.88,
118,동서,"25,100",300,-1.18%,500,"25,025","99,700",2.89,"58,651",21.96,8.05,
119,DB하이텍,"55,200","3,800",-6.44%,"5,000","24,508","44,399",23.60,"982,617",5.74,33.35,
120,대우건설,"5,670",250,-4.22%,"5,000","23,566","415,623",11.26,"1,427,285",4.62,16.47,
121,에스원,"61,300",900,-1.45%,500,"23,293","37,999",52.91,"28,065",18.04,9.13,
122,대한전선,"1,840",50,-2.65%,100,"22,898","1,244,473",1.54,"14,569,836",42.79,7.78,
123,BNK금융지주,"7,020",270,-3.70%,"5,000","22,881","325,935",39.59,"1,174,193",2.62,8.76,
124,CJ,"78,200","1,100",-1.39%,"5,000","22,816","29,177",17.37,"33,482",9.13,5.66,
125,키움증권,"86,000","1,000",-1.15%,"5,000","22,549","26,220",24.43,"44,686",3.11,25.38,
126,하이트진로,"32,050",300,-0.93%,"5,000","22,478","70,134",10.56,"258,333",28.64,6.62,
127,대우조선해양,"20,700",850,-3.94%,"5,000","22,209","107,291",3.42,"300,179",-1.13,-55.86,
128,KODEX 레버리지,"14,760",665,-4.31%,0,"22,059","149,450",2.17,"48,061,971",N/A,N/A,
129,신세계,"224,000","7,000",-3.03%,"5,000","22,053","9,845",27.26,"31,874",6.16,8.54,
130,현대로템,"19,950",50,+0.25%,"5,000","21,774","109,142",5.36,"1,603,677",29.73,5.01,
131,만도,"46,300","1,900",-3.94%,"1,000","21,741","46,957",20.04,"283,715",14.70,9.31,
132,씨에스윈드,"50,400",800,-1.56%,500,"21,254","42,171",10.67,"249,263",63.96,10.13,
133,현대차우,"84,600",200,+0.24%,"5,000","20,606","24,357",57.38,"57,254",4.51,N/A,
134,LG화학우,"265,000","10,000",-3.64%,"5,000","20,375","7,689",70.53,"9,086",6.80,N/A,
135,두산퓨얼셀,"30,750","1,250",-3.91%,100,"20,139","65,494",13.94,"277,988",250.00,1.69,
136,KODEX 200선물인버스2X,"3,250",135,+4.33%,0,"19,916","612,800",4.05,"228,559,137",N/A,N/A,
137,한화,"26,450",800,-2.94%,"5,000","19,827","74,959",14.98,"270,844",4.06,20.22,
138,KODEX 단기채권PLUS,"103,725",0,0.00%,0,"19,492","18,792",0.00,"34,743",N/A,N/A,
139,LS,"60,200","2,500",-3.99%,"5,000","19,384","32,200",13.91,"111,553",5.58,8.15,
140,한화생명,"2,225",90,-3.89%,"5,000","19,325","868,530",7.36,"1,543,724",2.10,10.79,
141,TIGER 미국나스닥100,"65,270",685,+1.06%,0,"19,215","29,440",0.19,"143,025",N/A,N/A,
142,롯데정밀화학,"72,700","3,300",-4.34%,"5,000","18,757","25,800",20.68,"128,309",3.26,30.43,
143,효성첨단소재,"416,000","16,500",-3.82%,"5,000","18,637","4,480",6.77,"23,287",7.05,54.69,
144,후성,"19,700",900,-4.37%,500,"18,244","92,607",11.61,"1,211,205",29.76,9.61,
145,솔루스첨단소재,"51,700","3,400",-6.17%,100,"18,152","35,111",5.44,"244,734",216.32,4.00,
146,TIGER 단기통안채,"100,905",5,0.00%,0,"18,140","17,977",0.68,"381,870",N/A,N/A,
147,영원무역,"40,300","1,200",-2.89%,500,"17,858","44,311",28.82,"45,480",5.14,14.71,
